code,gender,age
BlgjzyfnYiJ,male,11
BtJnl4BB-RF,male,12
B5nhWcWAeta,male,12
BoxHtBJBExl,male,19
Bm9oJH9BU0u,male,19
Bn4hYkehuSu,male,19
CEIae02hJD7,male,21
CB1Bpfqpacv,male,13
B-XmWt-JDqX,male,13
B9Vz4Mkprty,male,13
B6bDl8QJFY3,male,12
B4Jg0Rug5GQ,male,12
B3JSTv2AyOF,male,12
BvrXc0Lg3KK,male,12
BouegZpn6f0,male,11
B9QDaMkJoyI,male,19
B3fqjvxnA4S,male,18
BtMM9G0HEjl,male,18
BgX4lHDnSjL,male,17
ByIT07oAhDz,male,12
Bxm9qjyjQ1e,male,12
BgMVzsZFkH1,male,4
BeXdNE9FRTg,male,3
BUhcI2QgV4N,male,1
B34eXA0hHvE,male,4
B2hlAOFh3eX,female,2
BxP4cqHBw46,male,4
oUhfYgHtYt,male,26
B9RlshnB7Hw,male,23
BzLsCOrh8lR,male,23
BueEMaeBrW6,male,22
BrychkdHZ4t,male,22
Bp01inRnFP-,male,21
B9fYdLmhZMU,male,21
BvDJhThleeW,male,20
BuFfG0vBoHJ,male,20
BgomBO-g35C,male,20
BcdE86Mgt2T,male,20
BWgjF4aAwWO,male,19
B0jrWFSJgR6,male,21
Bi-USmoBvxM,female,71
Bi9vZIlBMmn,female,71
B9fasyfjmKU,female,80
B7BwyJ7j5cC,female,80
BekTgANgDF4,female,78
BHvKyGOgpwy,female,98
CCyxnqIKw4G,female,90
CB5usnJqtBt,female,90
CBdNnj-KZZb,female,90
BrRb0canV3u,female,75
CDRd9UFD4Qi,female,70
